,Name,Team,G,A1,A2,P1,Cluster,Distance from Centroid
0,Morgan Frost,SSM,37,46,21,83,3,2.8546489878021415
1,Kevin Hancock,LDN/OS,50,35,16,85,3,2.4136610407887735
2,Jason Robertson,KGN/NIAG,42,38,21,80,3,2.132597011427683
3,Justin Brazeau,NB,53,30,15,83,3,2.3739118447282475
4,Arthur Kaliyev,HAM,50,25,22,75,3,1.9779500542177295
5,Tye Felhaber,OTT,51,28,16,79,3,2.03564325577951
6,Akil Thomas,NIAG,32,33,26,65,3,1.7462022517743923
7,Nate Schnarr,GUE,28,37,26,65,3,2.073800080906186
8,Ben Jones,NIAG,38,40,13,78,3,2.1933884353001387
9,Brandon Saigeon,HAM/OSH,37,30,20,67,3,0.8747108424336552
10,Anthony Salinitri,OSH/SAR,42,24,16,66,3,0.9882168188066377
11,Kyle Maksimovich,ER/OTT,35,25,21,60,3,0.6579498223880548
12,Greg Meireles,KIT,31,28,22,59,3,0.844960191039932
13,Nick Suzuki,GUE/OS,30,28,21,58,3,0.7163756768344453
14,Matthew Strome,HAM,27,27,22,54,3,1.0085691144658218
15,Austen Keating,OTT,21,33,22,54,3,1.6217588498773854
16,Lucas Chiodo,BAR/OTT,27,29,19,56,3,0.7279256211253666
17,Kirill Maksimov,NIAG,37,21,17,58,3,0.7198416536998794
18,Serron Noel,OSH,32,26,16,58,3,0.2780988191535761
19,Alan Lyszczarczyk,MISS/OS,35,27,12,62,3,0.9967881952291817
20,Hugo Leufvenius,SAR,35,28,11,63,3,1.193122653953037
21,Joseph Garreffa,KIT,26,21,26,47,3,1.855741715124744
22,Isaac Ratcliffe,GUE,47,15,11,62,3,2.1829576360721044
23,Brett Neumann,KGN/OSH,40,17,15,57,3,1.3463057016085211
24,Riley Damiani,KIT,23,34,15,57,3,1.4049116565868316
25,Liam Hawel,GUE,35,21,16,56,3,0.7061832635274431
26,Mac Hollowell,SSM,23,22,26,45,3,1.9760944530873104
27,Keeghan Howdeshell,SSM,41,19,11,60,3,1.5987508644447757
28,Ryan McGregor,SAR,24,25,21,49,3,1.1774882452713225
29,Connor McMichael,LDN,36,27,6,63,3,2.040445707459816
30,Matthew Struthers,NB,28,23,18,51,3,0.7409029064206792
31,Sasha Chmelevski,OTT,31,27,11,58,3,1.1532009513556194
32,Jack Studnicka,NIAG/OSH,30,20,18,50,3,0.9293997642358548
33,Ryan Suzuki,BAR,20,27,19,47,3,1.400011162791236
34,Cole Carter,MISS,34,23,9,57,3,1.5324029609509116
35,Liam Foudy,LDN,35,12,19,47,3,1.851476842712993
36,Rickard Hugg,KIT,30,16,19,46,3,1.4621534619105439
37,Adam Ruzicka,SAR/SBY,26,22,17,48,3,1.0150296099350014
38,Bode Wilde,SAG,18,26,21,44,3,1.7265270665891723
39,Owen Tippett,SAG/MISS,30,17,17,47,3,1.3107098496259413
40,Philip Tomasino,NIAG,31,23,10,54,3,1.396236961359937
41,Ryan Merkley,GUE/PBO,11,30,23,41,3,2.5043735631597794
42,Cole Perfetti,SAG,30,20,14,50,3,1.106551913228419
43,Cole Coskey,SAG,31,20,12,51,3,1.2947857355538956
44,Jonathan Yantsis,KIT,42,12,7,54,1,2.500929821819184
45,Barrett Hayton,SSM,22,22,16,44,1,1.18946934532171
46,Allan McShane,OSH,29,21,10,50,1,1.2922467865046177
47,Ryan McLeod,SAG/MISS,17,24,18,41,1,1.5376192739844665
48,Quinton Byfield,SBY,27,19,13,46,1,1.0063636666615483
49,Marco Rossi,OTT,26,16,16,42,1,1.1457595454745648
50,Nicolas Mattinen,HAM/OSH,18,19,21,37,1,1.7854853597092502
51,Ty Dellandrea,FLNT,20,28,9,48,1,1.519579382541514
52,Cole MacKay,SSM,26,16,14,42,1,0.9008038984077091
53,Franco Sproviero,SAR,21,21,14,42,1,0.8114542587081947
54,Noel Hoefenmayer,OTT,16,21,19,37,1,1.5245346009583411
55,Adam Boqvist,LDN,18,21,16,39,1,1.030933905914742
56,Jake Durham,FLNT,35,12,8,47,1,1.7665597784588976
57,Tyler Tucker,BAR,12,23,19,35,1,1.7233690139542759
58,Aidan Dudas,OS,24,14,16,38,1,1.0668978965943117
59,Kyle MacLean,OSH,16,29,9,45,1,1.591331068286107
60,Brad Chenier,NB,25,20,9,45,1,0.8767394790271645
61,Chad Yetman,ER,20,25,9,45,1,1.133900956153596
62,Gera Poddubnyi,ER,26,19,9,45,1,0.896708550428833
63,Blade Jenkins,SAG,21,20,11,41,1,0.4792779148705921
64,Matt Brassard,NIAG/OSH,11,19,22,30,1,2.123693200018898
65,Thomas Harley,MISS,10,21,21,31,1,2.0368676986844556
66,Jacob Perreault,SAR,28,11,13,39,1,1.1637661397647086
67,Ethan Keppen,FLNT,25,20,7,45,1,1.059185026245291
68,Mitch Eliot,SAR,16,17,18,33,1,1.2879995787604435
69,Albert Michnac,SAG,18,20,13,38,1,0.5352730745843107
70,Nathan Dunkley,LDN,22,15,14,37,1,0.6516391281106053
71,Kade Landry,HAM,6,25,18,31,1,2.008173453420847
72,Sean Josling,SAR,19,20,9,39,1,0.5131448609367386
73,Cedric Ralph,GUE,20,19,9,39,1,0.4433381955351638
74,Cole Purboo,WSR,25,14,9,39,1,0.7462131787306615
75,Nick Robertson,PBO,23,13,12,36,1,0.6318870319042718
76,Evan Bouchard,LDN,12,24,12,36,1,1.0893654233200682
77,Christopher Paquette,PBO,27,15,5,42,1,1.3214672174040423
78,Shane Bulitka,SBY,19,18,10,37,1,0.2011339520847755
79,Curtis Douglas,WSR,24,17,6,41,1,1.0004094702505135
80,Danil Antropov,OSH,14,20,12,34,1,0.6400018500953636
81,Blake Murray,SBY,28,9,9,37,1,1.3103045658350045
82,Cole Tymkin,LDN,21,16,9,37,1,0.393975353387671
83,Adam McMaster,NB/OS,15,18,13,33,1,0.5739847322137656
84,Damien Giroux,SAG,27,11,8,38,1,1.148161020169439
85,MacKenzie Entwistle,GUE/HAM,24,15,7,39,1,0.8633812606422174
86,Daniel D'Amico,WSR,21,12,13,33,1,0.7517850539069295
87,Nando Eggenberger,OSH,24,12,9,36,1,0.8230259661354183
88,Adam Timleck,PBO,21,15,9,36,1,0.4449687004800735
89,Ben Hawerchuk,BAR,26,11,8,37,1,1.088764732407059
90,Jean-Luc Foudy,WSR,6,28,11,34,1,1.8038447746872546
91,DJ Busdeker,SAG,14,18,12,32,1,0.5779291138567422
92,Maksim Sushko,OS,16,19,9,35,1,0.5065263525374725
93,Giovanni Vallati,OSH,10,19,14,29,1,1.108743689426469
94,Declan Chisholm,PBO,4,21,18,25,1,2.030485849747677
95,Eric Henderson,HAM/OSH,13,17,13,30,1,0.761282880155505
96,Macauley Carson,SBY,16,19,7,35,1,0.7808775522143853
97,David Levin,SBY,18,13,11,31,1,0.5773013513348535
98,Cole Schwindt,MISS,16,11,14,27,1,1.0838337902585065
99,Keean Washkurak,MISS,14,14,13,28,1,0.8405156217024401
100,Nolan Hutcheson,SBY,22,14,5,36,1,1.123415768713922
101,Jordan Sambrook,SSM,15,16,10,31,1,0.5217217776857639
102,Kody Clark,OTT,15,16,10,31,1,0.5217217776857639
103,Eric Uba,FLNT,19,13,9,32,1,0.6337350925059
104,Tyler Angle,WSR,20,9,11,29,1,1.0533365479044123
105,Semyon Der-Arguchintsev,PBO,6,15,19,21,0,1.8695014235058725
106,Alexey Toropchenko,GUE,16,17,6,33,1,0.9210708336072501
107,Jason Willms,BAR,17,19,3,36,1,1.4137651838165148
108,Liam Kirk,PBO,21,12,6,33,1,1.0772627481543522
109,Dmitri Samorukov,GUE,7,12,19,19,0,1.764233202969033
110,Ivan Lodnia,NIAG,14,14,10,28,1,0.7716081648960393
111,Barret Kirwin,GUE/OS,19,10,9,29,1,0.9964393376338343
112,Ryan Roth,SSM,20,12,6,32,1,1.0774607815170592
113,Will Cuylle,WSR,25,9,4,34,1,1.6420757906639372
114,Ryan Cranford,KGN,17,14,7,31,1,0.8490532431267046
115,Justin Murray,SAG/BAR,12,11,14,23,0,0.9365603029926458
116,Jamie Drysdale,ER,7,14,16,21,0,1.3307151579691823
117,Tyler Tullio,OSH,13,15,9,28,1,0.8385415001692403
118,Brady Gilmour,SAG,13,17,7,30,1,0.9522131975732645
119,Nick King,NB,8,13,16,21,0,1.278353282599628
120,Sean Durzi,GUE/OS,11,18,8,29,1,0.999725116526374
121,Joey Keane,BAR/LDN,8,12,17,20,0,1.413728877245071
122,Oliver Castleman,NIAG,19,11,6,30,1,1.1754535706242597
123,Billy Moskal,LDN,14,16,6,30,1,1.0457764822753113
124,Matej Pekar,BAR,14,17,5,31,1,1.1713133975044503
125,Alec Regula,LDN,9,12,15,21,0,1.073377921853916
126,Aidan Prueter,SAG/MISS,11,11,13,22,0,0.7389294248219291
127,Mitchell Hoelscher,OTT,9,11,15,20,0,1.0455064058870092
128,Owen Lalonde,GUE,7,12,16,19,0,1.2534660311287806
129,Nick Isaacson,MISS/PBO,12,16,7,28,0,1.0073575571186695
130,Maxim Golod,ER,17,12,6,29,0,1.0928015642531175
131,Brady Lyle,OS,9,16,9,25,0,0.8213219832329071
132,Owen Robinson,SBY,8,17,9,25,0,0.9390897070208071
133,Keegan Stevenson,GUE,19,11,4,30,0,1.4173990133858039
134,Calvin Martin,SAR,12,12,9,24,0,0.4659123551006423
135,Brandon Coe,NB,15,7,11,22,0,0.7378872108952855
136,Sam Bitten,OTT,12,15,6,27,0,0.976118658435849
137,Nicholas Porco,SAG,20,8,5,28,0,1.344301078589644
138,Brady Hinz,PBO,16,9,8,25,0,0.7447103656206663
139,Petr Cajka,ER,19,8,6,27,0,1.1660330765818097
140,Antonio Stranges,LDN,12,12,9,24,0,0.4659123551006423
141,Josh Nelson,LDN,17,10,6,27,0,1.0059923822464651
142,Darian Pilon,SBY,17,11,5,28,0,1.1419492879131339
143,Jaden Peca,SSM/BAR,11,14,8,25,0,0.6590211609552671
144,Nick McHugh,KIT/MISS,12,14,6,26,0,0.8767474593591751
145,Liam Ham,MISS/NIAG,9,8,15,17,0,1.0624093188555825
146,Jamieson Rees,SAR,10,18,4,28,0,1.4246021969805034
147,Emmett Sproule,ER,10,13,9,23,0,0.4534710555262403
148,Domenico Commisso,GUE/OSH,9,13,9,22,0,0.4221386481786199
149,Jack Wismer,FLNT,13,13,5,26,0,0.9674122145860202
150,Matthew Philip,NIAG,13,10,8,23,0,0.4595391829606194
151,Kyen Sopa,NIAG,19,8,4,27,0,1.363083687881148
152,Brayden Guy,SAR,18,5,8,23,0,1.042430964119383
153,Cody Morgan,FLNT/WSR,10,7,14,17,0,0.9332514225430574
154,Daylon Groulx,OS,15,8,8,23,0,0.6500343984775084
155,Kevin Bahl,OTT,4,12,15,16,0,1.1810410790619523
156,Mathew MacDougall,ER/WSR,13,11,7,24,0,0.5968607213032506
157,Billy Constantinou,KGN/NIAG,8,11,11,19,0,0.38064194332398077
158,Cole Candella,SBY,7,9,14,16,0,0.9029738157599432
159,Mason Primeau,GUE/NB,11,5,14,16,0,1.0636950612999492
160,Zack Trott,SSM,9,12,8,21,0,0.3452975876402669
161,Logan Morrison,HAM,12,9,8,21,0,0.354769170072428
162,Michael Little,MISS/PBO,10,11,8,21,0,0.27416299830007246
163,Connor Corcoran,WSR,8,13,8,21,0,0.45778905566285605
164,Liam Ross,SBY,7,8,14,15,0,0.9354936905662484
165,Matvey Guskov,LDN,12,10,7,22,0,0.4787893978553386
166,Riley McCourt,FLNT,6,7,16,13,0,1.331326491723948
167,Jack York,BAR/KIT,7,14,7,21,0,0.6654141749642453
168,Elijah Roberts,NIAG,4,9,15,13,0,1.19055221657974
169,Joe Carroll,SSM,8,11,9,19,0,0.18133460095759985
170,Luke Boka,WSR,9,9,10,18,0,0.19594041136233684
171,Vladislav Kolyachonok,FLNT/LDN,4,10,13,14,0,0.8798449042728442
172,Nick Grima,SAR,4,14,9,18,0,0.6990643756812781
173,Fedor Gordeev,FLNT/GUE,5,9,13,14,0,0.8386889290965363
174,Jack Quinn,OTT,12,8,7,20,0,0.501127324720367
175,Pavel Gogolev,GUE/PBO,10,12,5,22,0,0.7831494796685313
176,Graeme Clarke,OTT,19,3,5,22,0,1.4268579118775977
177,Alexey Lipanov,KIT,9,11,6,20,0,0.5607048133761872
